date,equity
2018-07-25,6120381.25000001
2018-07-26,6119498.75000001
2018-07-27,6116722.50000001
2018-07-30,6115692.50000001
2018-07-31,6114768.75000001
2018-08-01,6114768.75000001
2018-08-02,6260162.500000011
2018-08-03,6205015.000000012
2018-08-06,6206987.500000012
2018-08-07,6221312.500000013
2018-08-08,6221312.500000013
2018-08-09,6221312.500000013
2018-08-10,6277892.500000013
2018-08-13,6280898.750000013
2018-08-14,6238423.750000013
2018-08-16,6163348.750000011
2018-08-17,6116213.750000011
2018-08-20,6116213.750000011
2018-08-21,6116213.750000011
2018-08-23,6116213.750000011
2018-08-24,6202563.750000011
2018-08-27,6138510.000000011
2018-08-28,6143045.000000011
2018-08-29,6231485.000000011
2018-08-30,6232240.000000011
2018-08-31,6231962.500000011
2018-09-03,6194810.000000011
2018-09-04,6200821.250000011
2018-09-05,6200821.250000011
2018-09-06,6195070.000000012
2018-09-07,6195070.000000012
2018-09-10,6048825.000000012
2018-09-11,6045060.000000012
2018-09-12,6081220.000000012
2018-09-14,6084852.500000012
2018-09-17,6024077.500000012
2018-09-18,6019135.000000012
2018-09-19,6019135.000000012
2018-09-21,6019135.000000012
2018-09-24,6216307.500000012
2018-09-25,6163497.500000011
2018-09-26,6162132.500000011
2018-09-27,6124007.500000011
2018-09-28,6122830.000000011
2018-10-01,6144922.500000011
2018-10-03,6047390.000000011
2018-10-04,6038186.250000011
2018-10-05,6038186.250000011
2018-10-08,6038186.250000011
2018-10-09,6038186.250000011
2018-10-10,6038186.250000011
2018-10-11,5666193.75000001
2018-10-12,5666193.75000001
2018-10-15,5666193.75000001
2018-10-16,5666193.75000001
2018-10-17,5524616.250000009
2018-10-19,5384016.250000009
2018-10-22,5384016.250000009
2018-10-23,5384016.250000009
2018-10-24,5384016.250000009
2018-10-25,5384016.250000009
2018-10-26,5384016.250000009
2018-10-29,5384016.250000009
2018-10-30,5384016.250000009
2018-10-31,5384016.250000009
2018-11-01,5384016.250000009
2018-11-02,5384016.250000009
2018-11-05,5384016.250000009
2018-11-06,5384016.250000009
2018-11-07,5384016.250000009
2018-11-09,5371476.25000001
2018-11-12,5321431.250000011
2018-11-13,5321431.250000011
2018-11-14,5321431.250000011
2018-11-15,5320421.250000011
2018-11-16,5320421.250000011
2018-11-19,5320421.250000011
2018-11-20,5320421.250000011
2018-11-21,5323228.750000011
2018-11-22,5326893.750000011
2018-11-26,5326893.750000011
2018-11-27,5326893.750000011
2018-11-28,5326893.750000011
2018-11-29,5326893.750000011
2018-11-30,5349078.750000011
2018-12-03,5349078.750000011
2018-12-04,5391273.750000011
2018-12-05,5399381.250000011
2018-12-06,5399450.000000011
2018-12-07,5399450.000000011
2018-12-10,5399450.000000011
2018-12-11,5399450.000000011
2018-12-12,5399450.000000011
2018-12-13,5417630.000000011
2018-12-14,5417630.000000011
2018-12-17,5417630.000000011
2018-12-18,5417630.000000011
2018-12-19,5417630.000000011
2018-12-20,5513975.000000011
2018-12-21,5502557.500000011
2018-12-24,5502557.500000011
2018-12-26,5497886.250000011
2018-12-27,5506481.250000011
2018-12-28,5506481.250000011
2018-12-31,5506481.250000011
2019-01-01,5506481.250000011
2019-01-02,5514736.250000012
2019-01-03,5514736.250000012
2019-01-04,5509226.250000012
2019-01-07,5512331.250000012
2019-01-08,5517160.000000012
2019-01-09,5517160.000000012
2019-01-10,5544550.000000013
2019-01-11,5545800.000000013
2019-01-14,5545800.000000013
2019-01-15,5522242.500000013
2019-01-16,5522505.000000013
2019-01-17,5525725.000000013
2019-01-18,5525725.000000013
2019-01-21,5525725.000000013
2019-01-22,5542277.500000013
2019-01-23,5515397.500000013
2019-01-24,5519045.000000013
2019-01-25,5513851.250000013
2019-01-28,5513851.250000013
2019-01-29,5513851.250000013
2019-01-30,5533163.750000013
2019-01-31,5533163.750000013
2019-02-01,5533163.750000013
2019-02-04,5547391.250000013
2019-02-05,5547391.250000013
2019-02-06,5547391.250000013
2019-02-07,5565275.000000013
2019-02-08,5701622.500000014
2019-02-11,5704362.500000014
2019-02-12,5720256.250000014
2019-02-13,5742748.750000014
2019-02-14,5742748.750000014
2019-02-15,5742748.750000014
2019-02-18,5742748.750000014
2019-02-19,5742748.750000014
2019-02-20,5774481.250000014
2019-02-21,5774481.250000014
2019-02-22,5782911.250000014
2019-02-25,5782911.250000014
2019-02-26,5830340.000000013
2019-02-27,5831157.500000013
2019-02-28,5831157.500000013
2019-03-01,5831157.500000013
2019-03-05,5849750.000000013
2019-03-06,5849750.000000013
2019-03-07,5930437.500000013
2019-03-08,5970666.250000013
2019-03-11,5964033.750000013
2019-03-12,5964033.750000013
2019-03-13,5990081.250000013
2019-03-14,5990081.250000013
2019-03-15,5964201.250000013
2019-03-18,5963317.500000013
2019-03-19,5963317.500000013
2019-03-20,5990220.000000013
2019-03-22,6246922.500000013
2019-03-25,6252055.000000013
2019-03-26,6175038.750000013
2019-03-27,6158208.750000013
2019-03-28,6155085.000000013
2019-03-29,6157780.000000013
2019-04-01,6157780.000000013
2019-04-02,6157780.000000013
2019-04-03,6328003.750000014
2019-04-04,6404478.750000014
2019-04-05,6404478.750000014
2019-04-08,6404478.750000014
2019-04-09,6404478.750000014
2019-04-10,6404478.750000014
2019-04-11,6403858.750000014
2019-04-12,6403858.750000014
2019-04-15,6403858.750000014
2019-04-16,6403858.750000014
2019-04-18,6403858.750000014
2019-04-22,6403858.750000014
2019-04-23,6403858.750000014
2019-04-24,6403858.750000014
2019-04-25,6403858.750000014
2019-04-26,6403858.750000014
2019-04-30,6403858.750000014
2019-05-02,6404443.750000014
2019-05-03,6404443.750000014
2019-05-06,6404443.750000014
2019-05-07,6404443.750000014
2019-05-08,6404443.750000014
2019-05-09,6404443.750000014
2019-05-10,6404443.750000014
2019-05-13,6404443.750000014
2019-05-14,6404443.750000014
2019-05-15,6404443.750000014
2019-05-16,6404443.750000014
2019-05-17,6404443.750000014
2019-05-20,6404443.750000014
2019-05-21,6404443.750000014
2019-05-22,6404443.750000014
2019-05-23,6404443.750000014
2019-05-24,6404443.750000014
2019-05-27,6404443.750000014
2019-05-28,6410792.500000014
2019-05-29,6387158.750000014
2019-05-30,6346878.750000014
2019-05-31,6384496.250000013
2019-06-03,6376208.750000013
2019-06-04,6344431.250000013
2019-06-06,6172585.000000014
2019-06-07,6242965.000000014
2019-06-10,6244266.250000014
2019-06-11,6244266.250000014
2019-06-12,6252426.250000015
2019-06-13,6248893.750000016
2019-06-14,6216622.500000015
2019-06-17,6216622.500000015
2019-06-18,6280195.000000015
2019-06-19,6382200.000000015
2019-06-20,6385707.500000015
2019-06-21,6348207.500000015
2019-06-24,6281546.250000015
2019-06-25,6269446.250000015
2019-06-26,6269446.250000015
2019-06-27,6272828.750000015
2019-06-28,6278040.000000015
2019-07-01,6255015.000000015
2019-07-02,6264756.250000015
2019-07-03,6264756.250000015
2019-07-04,6264756.250000015
2019-07-05,6195017.500000015
2019-07-08,6195017.500000015
2019-07-09,6194680.000000015
2019-07-10,6193255.000000015
2019-07-11,6225947.500000015
2019-07-12,6212847.500000015
2019-07-15,6212847.500000015
2019-07-16,6214703.750000015
2019-07-17,6214703.750000015
2019-07-18,6202167.500000015
2019-07-19,6197726.250000015
2019-07-22,6176486.250000015
2019-07-23,6215227.500000015
2019-07-24,6215227.500000015
2019-07-25,6224323.750000015
2019-07-26,6238622.500000015
2019-07-29,6186317.500000016
2019-07-30,6186317.500000016
2019-07-31,6220137.500000016
2019-08-01,6206337.500000016
2019-08-02,6294021.250000016
2019-08-05,6283915.000000016
2019-08-06,6194896.250000016
2019-08-07,6183302.500000016
2019-08-08,6183302.500000016
2019-08-09,6183302.500000016
2019-08-13,6056812.500000016
2019-08-14,6061990.000000016
2019-08-16,6062450.000000016
2019-08-19,6062450.000000016
2019-08-20,6034650.000000017
2019-08-21,6020812.500000017
2019-08-22,6020812.500000017
2019-08-23,6027412.500000017
2019-08-26,6035325.000000017
2019-08-27,6056025.000000017
2019-08-28,6158525.000000017
2019-08-29,6164472.500000017
2019-08-30,6175897.500000017
2019-09-03,5684147.500000016
